smiles,bp
C(=O)(C)OCC(CC)CC,442.16
C(=O)(CC(=O)C)OCC=C(CCC=C(C)C)C,603.18
C(=O)(CCCCC)OC/C=C(/CCC=C(C)C)\C,599.69
C(CCCCCC)(OC)OC,466.21
C1(=CC)CCCCC1,409.74
[nH]1c(c(c(c1C)C)C)C,468.64
C1=CCC(CC1)C=C,397.7
c1(ccccc1)CC,410.25
c1(ccccc1)C=C,416.1
C(C(CCCCC)CCC)O,514.34
c1cc(ccn1)C=C,431.59
c1(c(c(ccc1)C)OC)C,473.44
[C@@H]1([C@H](CCCC1)C=C)C=C,436.44
C1(CCCCC1)CO,464.1
c1(ccccc1)CO,472.55
c1c(cccn1)CO,494.08
c1(ccccc1)OC,423.33
[nH]1ccc2cc(ccc12)OC,522.96
c1(ccccn1)C=C,431.59
[C@H]12C(C[C@H](CC1)C2)CC(=O)O,505.27
c1(ccccc1)C(O)C1CC1,531.07
c1(ccccn1)CC,433.62
C(C(=O)CC)c1ccccc1,502.88
C(=O)(C)OCc1ccccn1,504.02
c1(ccc(c2ccccc12)OC)OC,574.19
c1(cc(ccc1)C)C=C,442.4
c1(ccc(cc1)C(C)(c1ccccc1)C)Nc1ccc(cc1)C(C)(c1ccccc1)C,1046.19
c1(cc(ccc1)C)OC,448.99
OC(Cc1ccccc1)(C)C,524.78
c1c(cccn1)c1ccccc1,537.59
c1(ccccn1)c1ccccc1,537.59
C(=O)(CCC)c1ccc(cc1)O,574.44
C(=O)(CCCC)c1ccccc1,527.15
C(=O)(CCC)OC(Cc1ccccc1)(C)C,569.4
C1(CCCCC1)CCC(=O)OCC,512.6
C(C=CCCC)OC(=O)C,448.45
c1(ccc(cc1)C(=O)C)C(=O)C,554.21
C(=O)(C(CC)(CO)CO)O,616.29
c1(ccc(cc1)C(C)C)CCO,551.87
c1(c(cc(c(c1)Nc1ccccc1)C(=O)O)Nc1ccccc1)C(=O)O,1143.34
C(=O)(C(C)Oc1cc(ccc1)Cl)O,603.31
C1(=O)C(=C2CCCCC2)CCCC1,563.04
C(c1cc(c(cc1)N)Cl)c1cc(c(cc1)N)Cl,725.38
n1c(ccc2ccccc12)CCO,647.6
c1(cc(ccc1)OC)Nc1ccccc1,627.77
c1(cc(ccc1)Nc1ccccc1)O,658.11
C1(CCCCC1)C,374.41
c1(ccc(cc1)C(C)(C)C)C(C)(C)C,533.61
c1(cccc(n1)Cc1ccccc1)C,569.69
C(C(COC(=O)CCCCCCCC=CCC(CCCCCC)OC(=O)C)OC(=O)CCCCCCCC=CCC(CCCCCC)OC(=O)C)OC(=O)CCCCCCCC=CCC(CCCCCC)OC(=O)C,1429.7
[C@H]12C([C@H](C1)CC(=O)C2(C)O)(C)C,556.5
c1(ccccc1)CC(=O)OC,485.94
C(C(C)O)OCC(C)OCC,506.72
C=COCCOCCOCC,452.06
C(COCC(CCCC)CC)(CCCC)CC,568.1
c1(ccccc1)CC(OC)OC,501.02
c1(ccc(cc1)Cc1ccccc1)O,600.87
c1(ccc(cc1)N)Nc1ccccc1,655
C1(=O)CCCc2c(ccc(c12)OC)OC,617.35
C1(=O)CCC2=C3[C@@H](CCC2=C1)[C@@H]1CC[C@@H]([C@@]1(C)C=C3)OC(=O)C,731.42
c1(c(cccc1)C(CC)C)Cc1ccccc1,608.87
c1(ccc(cc1)CCCCCCCC)Nc1ccc(cc1)CCCCCCCC,953.53
c1(c(c2[nH]c1/C=C\1/C(=C(C(=N1)/C=C\1/C(=C(C(=N1)/C=c/1\[nH]/c(=C\2)/c(c1CC(=O)OC)CCC(=O)OC)CCC(=O)OC)CC(=O)OC)CCC(=O)OC)CC(=O)OC)CC(=O)OC)CCC(=O)OC,2132.74
c1(ccc(cc1)OC)Nc1ccc(cc1)OC,678.05
c1(ccc(cc1)OC(C)C)Nc1ccccc1,673.09
c1(ccc(cc1)Nc1ccc(cc1)Nc1ccccc1)O,877.22
C(c1ccc(cc1)Cl)c1ccc(cc1)Cl,602.52
C(c1ccc(cc1)N)c1ccc(cc1)N,668.26
C(c1ccccc1)c1ccccc1,536.16
c1(ccccn1)Cc1ccccc1,551.62
C(C(=Cc1ccccc1)CCCCC)O,609.51
